QUANTITY                                ,PRODUCT_ID ,LOCATION_ID,BARCODE             ,PRODUCT_CODE        ,LOCATION_DESC                                               
                                  1.0000,-2147448052,002        ,7630000236760       ,30046B1017/101      ,MAMUL DEPO                                                  
                                  1.0000,-2147448051,001        ,7630000236777       ,3001731017/102      ,KAMPANYA DEPO                                               
                                  1.0000,-2147448021,001        ,7630000236999       ,03017300232302      ,KAMPANYA DEPO                                               
                                  3.0000,-2147448019,001        ,7630000237019       ,04017300233502      ,KAMPANYA DEPO                                               
                                  7.0000,-2147448018,002        ,7630000237026       ,04046B00239410      ,MAMUL DEPO                                                  
                                   .0000,-2147447952,002        ,7630000237293       ,03046B000200KD1     ,MAMUL DEPO                                                  
                                   .0000,-2147447952,005        ,7630000237293       ,03046B000200KD1     ,KAZAKÝSTAN DEPO                                             
                                 10.0000,-2147447952,022        ,7630000237293       ,03046B000200KD1     ,ANNA BABOK                                                  
                                 67.0000,-2147447883,001        ,7630000237910       ,06046D00052624      ,KAMPANYA DEPO                                               
                                  3.0000,-2147447876,002        ,7630000237965       ,30046D00104424      ,MAMUL DEPO                                                  
                                 44.0000,-2147447875,001        ,7630000237972       ,06046D00254324      ,KAMPANYA DEPO                                               
                                 25.0000,-2147447839,002        ,7630000238306       ,080067040-1102      ,MAMUL DEPO                                                  
                                  5.0000,-2147447734,001        ,7630000238962       ,040CFM0A120084      ,KAMPANYA DEPO                                               
                                  3.0000,-2147447726,001        ,7630000239037       ,020CFM0A620046      ,KAMPANYA DEPO                                               
                                  4.0000,-2147447724,001        ,7630000239051       ,020CFM0A640008      ,KAMPANYA DEPO                                               
                                  4.0000,-2147447671,001        ,7630000239396       ,21070500058160      ,KAMPANYA DEPO                                               
                                  1.0000,-2147447654,001        ,7630000239457       ,21025800058121      ,KAMPANYA DEPO                                               
                                   .0000,-2147447652,001        ,7630000239471       ,21400000058109      ,KAMPANYA DEPO                                               
                                  1.0000,-2147447650,001        ,7630000239495       ,21008200058120      ,KAMPANYA DEPO                                               
                                  1.0000,-2147447648,001        ,7630000239518       ,21016800058145      ,KAMPANYA DEPO                                               
                                  2.0000,-2147447645,001        ,7630000239549       ,21400000058123      ,KAMPANYA DEPO                                               
                                  1.0000,-2147447642,001        ,7630000239570       ,21009800058141      ,KAMPANYA DEPO                                               
                                  2.0000,-2147447633,001        ,7630000239617       ,21013600058152      ,KAMPANYA DEPO                                               
                                  3.0000,-2147447631,001        ,7630000239624       ,21010200058127      ,KAMPANYA DEPO                                               
                                 10.0000,-2147447628,001        ,7630000239662       ,21012000058102      ,KAMPANYA DEPO                                               
                                  7.0000,-2147447626,001        ,7630000239693       ,21007100058127      ,KAMPANYA DEPO                                               
                                   .0000,-2147447622,001        ,7630000239709       ,21008300058115      ,KAMPANYA DEPO                                               
                                  7.0000,-2147447620,001        ,7630000239730       ,21008400058136      ,KAMPANYA DEPO                                               
                                 12.0000,-2147447606,001        ,7630000239839       ,2100TB000581T09     ,KAMPANYA DEPO                                               
                                  1.0000,-2147447604,001        ,7630000239846       ,2100TB000581T22     ,KAMPANYA DEPO                                               
                                 18.0000,-2147447602,001        ,7630000239877       ,11070500058460      ,KAMPANYA DEPO                                               
                                  1.0000,-2147447601,001        ,7630000239891       ,11009800058441      ,KAMPANYA DEPO                                               
                                  4.0000,-2147447593,001        ,7630000239976       ,11400000058423      ,KAMPANYA DEPO                                               
                                  7.0000,-2147447592,001        ,7630000239952       ,11400000058404      ,KAMPANYA DEPO                                               
                                  1.0000,-2147447591,001        ,7630000278654       ,11016800058445      ,KAMPANYA DEPO                                               
                                  1.0000,-2147447589,001        ,7630000239990       ,11046B00058433      ,KAMPANYA DEPO                                               
                                 10.0000,-2147447587,001        ,7630000240019       ,1100TB000584T09     ,KAMPANYA DEPO                                               
                                  1.0000,-2147447586,001        ,7630000240026       ,1100TB000584TL2     ,KAMPANYA DEPO                                               
                                  4.0000,-2147447572,001        ,7630000240057       ,11025800058421      ,KAMPANYA DEPO                                               
                                  1.0000,-2147447569,001        ,7630000240088       ,11014000058411      ,KAMPANYA DEPO                                               
                                  1.0000,-2147447568,001        ,7630000240095       ,11004600058412      ,KAMPANYA DEPO                                               
                                  7.0000,-2147447565,001        ,7630000240118       ,11013600058452      ,KAMPANYA DEPO                                               
                                 16.0000,-2147447560,001        ,7630000240132       ,11011000058426      ,KAMPANYA DEPO                                               
                                  4.0000,-2147447557,001        ,7630000240156       ,11010200058427      ,KAMPANYA DEPO                                               
                                   .0000,-2147447556,001        ,7630000240163       ,11011800058443      ,KAMPANYA DEPO                                               
                                  7.0000,-2147447554,001        ,7630000240170       ,11026700058402      ,KAMPANYA DEPO                                               
